Date,Open,High,Low,Close,Adj Close,Volume
2023-09-19,68.050003,68.160004,67.349998,67.589996,66.008759,8215500
2023-09-20,68.070000,68.139999,67.239998,67.349998,65.774368,5804000
2023-09-21,67.110001,67.709999,66.769997,66.910004,65.344666,9458600
2023-09-22,66.500000,68.389999,66.349998,67.699997,66.116180,11796500
2023-09-25,67.220001,67.500000,66.779999,67.470001,65.891571,8656500
2023-09-26,67.120003,67.190002,65.269997,65.339996,63.811398,9042600
2023-09-27,64.699997,64.989998,59.529999,59.959999,58.557259,25606200
2023-09-28,60.299999,60.700001,56.980000,57.080002,55.744637,31153800
2023-09-29,57.669998,58.759998,56.980000,57.290001,55.949722,19045800
2023-10-02,56.080002,56.380001,50.180000,52.150002,50.929970,54022800
2023-10-03,52.070000,53.110001,50.500000,52.779999,51.545235,36257500
2023-10-04,53.709999,53.950001,50.540001,50.619999,49.435764,28467400
2023-10-05,49.810001,50.130001,48.240002,49.450001,48.293140,29911400
2023-10-06,49.060001,50.500000,47.150002,50.240002,49.064659,24716100
2023-10-09,49.689999,50.419998,48.380001,49.320000,48.166176,20644600
2023-10-10,49.680000,51.619999,49.520000,51.580002,50.373310,23164300
2023-10-11,52.049999,53.570000,51.700001,53.540001,52.287453,22401400
2023-10-12,53.070000,53.970001,52.230000,53.000000,51.760082,27972800
2023-10-13,53.529999,55.250000,53.500000,54.490002,53.215233,22319200
2023-10-16,54.490002,55.040001,53.560001,54.380001,53.107800,17089400
2023-10-17,53.580002,54.840000,53.549999,54.169998,52.902710,13365500
2023-10-18,54.080002,54.779999,53.070000,53.240002,51.994473,13593300
2023-10-19,53.279999,53.990002,52.380001,52.389999,51.164356,11580400
2023-10-20,51.950001,52.689999,51.689999,51.959999,50.744415,17797600
2023-10-23,51.270000,52.560001,50.950001,51.520000,50.314709,15200700
2023-10-24,54.439999,55.430000,53.110001,55.119999,53.830486,20060300
2023-10-25,55.610001,56.939999,54.910000,56.459999,55.139137,19262400
2023-10-26,56.770000,58.240002,56.680000,57.570000,56.223171,17357800
2023-10-27,57.360001,58.020000,55.930000,56.240002,54.924290,11921000
2023-10-30,56.410000,57.470001,55.770000,57.200001,55.861824,11017700
2023-10-31,57.560001,58.490002,57.389999,58.299999,56.936096,19978300
2023-11-01,58.110001,58.790001,57.180000,58.430000,57.063053,13428900
2023-11-02,58.520000,60.470001,58.500000,59.910000,58.508427,15076500
2023-11-03,61.220001,61.490002,59.369999,59.380001,57.990829,13937000
2023-11-06,59.400002,59.880001,58.860001,59.040001,57.658783,9299500
2023-11-07,59.049999,59.560001,58.400002,58.459999,57.092350,9615500
2023-11-08,58.169998,58.169998,56.779999,57.500000,56.154808,12781600
2023-11-09,57.119999,57.270000,54.619999,54.720001,53.439850,17147900
2023-11-10,55.000000,55.369999,54.509998,55.139999,53.850018,12776100
2023-11-13,55.049999,55.060001,53.810001,54.500000,53.224995,8951800
2023-11-14,56.080002,57.740002,55.450001,57.549999,56.203640,13399500
2023-11-15,57.480000,58.730000,56.980000,57.000000,55.666508,11295000
2023-11-16,57.419998,57.770000,56.580002,56.599998,55.275864,11155400
2023-11-17,57.009998,57.380001,56.490002,57.369999,56.027851,10136300
2023-11-20,57.000000,57.680000,56.310001,57.340000,55.998550,8404900
2023-11-21,57.320000,58.290001,56.779999,57.980000,56.623577,11952600
2023-11-22,57.980000,58.310001,56.990002,57.470001,56.582230,9626900
2023-11-24,57.139999,57.610001,56.930000,57.549999,56.660992,4629400
2023-11-27,57.500000,57.700001,56.869999,57.580002,56.690529,9779100
2023-11-28,57.560001,58.580002,57.259998,58.160000,57.261570,9473600
2023-11-29,58.529999,59.230000,57.980000,58.360001,57.458477,17019100
2023-11-30,58.480000,58.680000,57.980000,58.509998,57.606159,15381700
2023-12-01,58.549999,59.540001,57.669998,59.169998,58.255966,10509700
2023-12-04,58.590000,59.529999,58.580002,58.669998,57.763687,10239600
2023-12-05,58.680000,58.860001,57.869999,58.230000,57.330486,12544800
2023-12-06,58.619999,60.259998,58.619999,60.200001,59.270054,13235700
2023-12-07,60.380001,60.560001,59.439999,59.849998,58.925461,12230500
2023-12-08,59.570000,59.950001,59.099998,59.700001,58.777782,9408300
2023-12-11,58.529999,59.939999,58.529999,59.709999,58.787624,11005700
2023-12-12,59.660000,59.759998,58.080002,59.520000,58.600559,9931000
2023-12-13,59.599998,62.599998,59.330002,62.509998,61.544369,13013400
2023-12-14,63.650002,64.589996,62.360001,62.779999,61.810196,16809100
2023-12-15,62.099998,62.910000,61.020000,61.500000,60.549973,28900100
2023-12-18,61.599998,62.099998,60.849998,61.000000,60.057693,10755600
2023-12-19,61.360001,61.830002,60.869999,61.570000,60.618893,11509600
2023-12-20,61.549999,61.720001,59.779999,59.840000,58.915615,10091200
2023-12-21,60.130001,60.650002,59.060001,59.599998,58.679321,12604200
2023-12-22,59.959999,60.869999,59.669998,59.750000,58.827003,9799100
2023-12-26,59.680000,60.560001,59.619999,60.209999,59.279900,6791600
2023-12-27,59.910000,60.669998,59.650002,60.580002,59.644188,6787500
2023-12-28,60.119999,61.099998,60.119999,61.020000,60.077389,5981900
2023-12-29,60.799999,61.060001,60.270000,60.740002,59.801716,6814300
2024-01-02,60.549999,62.150002,60.180000,61.570000,60.618893,10064300
2024-01-03,61.110001,62.119999,60.459999,61.990002,61.032406,10306300
2024-01-04,62.169998,62.759998,61.730000,61.799999,60.845341,10568100
2024-01-05,61.650002,62.560001,61.270000,62.080002,61.121014,7803800
2024-01-08,61.779999,63.060001,61.590000,62.919998,61.948036,7766600
2024-01-09,62.939999,63.040001,61.889999,62.009998,61.052090,6921600
2024-01-10,62.020000,62.730000,61.900002,62.279999,61.317924,8100100
2024-01-11,62.000000,62.189999,60.599998,60.720001,59.782024,10686000
2024-01-12,61.180000,61.660000,60.919998,61.040001,60.097080,7796500
2024-01-16,60.660000,61.200001,60.209999,60.349998,59.417736,11633100
2024-01-17,59.459999,60.009998,57.799999,58.270000,57.369869,11543100
2024-01-18,57.959999,58.080002,57.230000,57.650002,56.759445,9626500
2024-01-19,57.720001,57.790001,56.580002,57.259998,56.375469,12761400
2024-01-22,57.369999,57.790001,56.660000,56.849998,55.971802,12979900
2024-01-23,57.279999,57.509998,56.889999,57.380001,56.493618,16081000
2024-01-24,58.099998,58.410000,56.750000,57.009998,56.129330,14471400
2024-01-25,58.950001,59.360001,57.060001,57.980000,57.084347,15702600
2024-01-26,58.330002,59.020000,58.220001,58.480000,57.576626,11650000
2024-01-29,58.470001,59.790001,58.209999,59.570000,58.649788,10102800
2024-01-30,59.500000,59.750000,58.570000,59.279999,58.364265,7807700
